name,tags,difficulty
Starter Pushup (On knees),U,Beginner
Plank,C,Beginner
Bird of Paradise pose,B,Beginner
Squats,L,Beginner
Walking lunge,L|B,Beginner
High lunge pose,B,Beginner
Low lunge pose,B,Beginner
Wall sit,L,Beginner
Jumping Jacks,V|L|U|C,Beginner
Side to side shuffle jump,V|L|C,Beginner
Running in place,V|B,Beginner
Bridges,C|B,Beginner
Walking high knees,V|L|C|B,Beginner
Eight-point shoulder opener,B|U,Beginner
90/90 stretch,L|B,Beginner
Butterflies,B|L,Beginner
Tree pose,B|C,Beginner
Happy baby pose,B|C,Beginner
Low side to side lunge,L|V,Beginner
Prayer mudra,B,Beginner
Prayer mudra,B,Beginner
Pushup Plus (standard),U,Intermediate
Stacked feet pushup,U,Intermediate
Plank with arm variation,U|C,Intermediate
Wall squat thrusts,L|V,Intermediate
One legged balance/squat/reach,L|B|C,Intermediate
Jump squats,L|V,Intermediate
Toe Touches (on back),C,Intermediate
Crunches,C,Intermediate
Reverse Crunches,C,Intermediate
Leg lifts,C,Intermediate
Lower body bicycles (bicycle kicking),C,Intermediate
Situps,C,Intermediate
Glute bridge march,C,Intermediate
Squat pulses,L,Intermediate
Mountain climber,L|C|V,Intermediate
Hamstring stretch,B|L,Intermediate
Lizard pose,B,Intermediate
Squat palm press pose,B|L|C,Intermediate
Knees chest chin pose,C|B,Intermediate
Wild thing pose,B|U,Intermediate
Diamond Pushup(super pushup),U|C,Advanced
Triple stop pushup,U|C,Advanced
Side plank pose,C|B,Advanced
1 arm Burpee (Pushup),U|V,Advanced
Russian Twists,C,Advanced
Supermans,C,Advanced
Ab-bicycles,C|V,Advanced
Star crunches,C|V,Advanced
Rotating Mountain Climber,C|B,Advanced
Lunge jumps,L|B|V,Advanced
Squat jacks,L|B|U|V,Advanced
Bow pose,B,Advanced
Handstand push up,U,Advanced
